country,cases,deaths,recoveries,death_rate,recovery_rate
Faroe Islands,497,0,494,0.0,0.994
Eritrea,491,0,438,0.0,0.892
Monaco,490,2,369,0.004,0.753
Mauritius,453,10,416,0.022,0.918
Artsakh,404,2,337,0.005,0.834
Bhutan,375,0,353,0.0,0.941
Mongolia,368,0,31,0.0,0.084
Isle of Man,359,25,324,0.07,0.903
Cambodia,301,0,288,0.0,0.957
Guernsey,282,13,253,0.046,0.897
Cayman Islands,250,1,236,0.004,0.944
Barbados,249,7,234,0.028,0.94
Bermuda,214,9,182,0.042,0.85
Saint Lucia,162,2,46,0.012,0.284
Seychelles,153,0,149,0.0,0.974
Costa Atlantica,148,0,148,0.0,1.0
Brunei,148,3,143,0.02,0.966
Bonaire,134,3,126,0.022,0.94
Greg Mortimer,128,1,,0.008,
Antigua and Barbuda,128,3,117,0.023,0.914
Northern Mariana Islands ,100,2,19,0.02,0.19
South Ossetia,90,0,90,0.0,1.0
Saint Vincent,78,0,76,0.0,0.974
British Virgin Islands,71,1,70,0.014,0.986
Dominica,68,0,41,0.0,0.603
Macau,46,0,46,0.0,1.0
Fiji,35,2,32,0.057,0.914
East Timor,30,0,29,0.0,0.967
Sahrawi Arab DR,28,2,26,0.071,0.929
Grenada,28,0,24,0.0,0.857
New Caledonia,28,0,28,0.0,1.0
Vatican City,27,0,15,0.0,0.556
Laos,24,0,23,0.0,0.958
Saint Kitts and Nevis,19,0,19,0.0,1.0
Greenland,17,0,17,0.0,1.0
Saint Pierre and Miquelon,16,0,12,0.0,0.75
Sint Eustatius,14,0,4,0.0,0.286
Falkland Islands,13,0,13,0.0,1.0
Montserrat,13,1,12,0.077,0.923
MS Zaandam,13,4,,0.308,
Solomon Islands,13,0,4,0.0,0.308
Coral Princess,12,3,,0.25,
HNLMS Dolfijn,8,0,8,0.0,1.0
SeaDream I,7,0,,0.0,
Saba,5,0,5,0.0,1.0
Anguilla,3,0,3,0.0,1.0
Marshall Islands,2,0,2,0.0,1.0
Wallis and Futuna,2,0,1,0.0,0.5
Vanuatu,1,0,0,0.0,0.0
Tanzania,,,,,
